categorie;libelle;alias;kcal_100g_indicatif;unite_base;portion_1;grammes_1;portion_2;grammes_2
Féculents;Riz blanc cuit;riz;130;g;1 bol;200;1 portion;150
Féculents;Riz complet cuit;riz complet;120;g;1 bol;200;1 portion;150
Féculents;Pâtes cuites;pates|spaghetti|penne;130;g;1 assiette;250;1 portion;180
Féculents;Pâtes complètes cuites;pates completes;124;g;1 assiette;250;;
Féculents;Semoule cuite;couscous|semoule;112;g;1 portion;150;;
Féculents;Quinoa cuit;quinoa;120;g;1 portion;150;;
Féculents;Boulgour cuit;boulgour|bulgur;110;g;1 portion;150;;
Féculents;Pomme de terre cuite;patate|pommes de terre;85;g;1 moyenne;150;1 portion;200
Féculents;Purée de pomme de terre;puree;90;g;1 portion;200;;
Féculents;Frites;frites|pommes frites;300;g;1 petite portion;100;1 grande portion;200
Féculents;Patate douce cuite;patate douce;90;g;1 moyenne;150;;
Féculents;Nouilles de riz cuites;nouilles|pad thai;110;g;1 portion;180;;
Féculents;Polenta cuite;polenta;85;g;1 portion;200;;
Légumineuses;Lentilles cuites;lentilles;116;g;1 portion;180;1 louche;100
Légumineuses;Pois chiches cuits;pois chiche|chickpea;139;g;1 portion;150;1 cuillère à soupe;30
Légumineuses;Haricots rouges cuits;haricots rouges;127;g;1 portion;150;;
Légumineuses;Haricots blancs cuits;haricots blancs|coco;130;g;1 portion;150;;
Légumineuses;Pois cassés cuits;pois casses;118;g;1 portion;150;;
Légumineuses;Fèves cuites;feves;110;g;1 portion;150;;
Légumineuses;Tofu ferme;tofu;120;g;1 portion;125;;
Légumineuses;Tempeh;tempeh;190;g;1 portion;100;;
Légumineuses;Houmous;houmous|hummus;307;g;1 cuillère à soupe;25;1 portion;80
Légumes;Courgette cuite;courgette;20;g;1 moyenne;200;;
Légumes;Aubergine cuite;aubergine;25;g;1 moyenne;250;;
Légumes;Tomate;tomate;18;g;1 moyenne;120;1 cerise;10
Légumes;Carotte crue;carotte;36;g;1 moyenne;80;;
Légumes;Carotte cuite;carottes cuites;30;g;1 portion;150;;
Légumes;Brocoli cuit;brocoli;30;g;1 portion;150;;
Légumes;Chou-fleur cuit;chou fleur;25;g;1 portion;150;;
Légumes;Haricots verts cuits;haricots verts;30;g;1 portion;150;;
Légumes;Épinards cuits;epinards;25;g;1 portion;200;;
Légumes;Poireau cuit;poireau;25;g;1 moyen;150;;
Légumes;Poivron;poivron;26;g;1 moyen;150;;
Légumes;Concombre;concombre;12;g;1 moyen;300;;
Légumes;Salade verte;salade|laitue|mache;15;g;1 bol;80;;
Légumes;Champignons de Paris;champignons;22;g;1 portion;120;;
Légumes;Oignon;oignon;40;g;1 moyen;110;;
Légumes;Petits pois cuits;petits pois;80;g;1 portion;150;;
Légumes;Betterave cuite;betterave;45;g;1 portion;100;;
Légumes;Avocat;avocat;160;g;1 moyen;150;1 demi;75
Légumes;Maïs doux;mais;95;g;1 portion;100;;
Légumes;Endive;endive;17;g;1 moyenne;100;;
Légumes;Ratatouille;ratatouille;60;g;1 portion;250;;
Fruits;Pomme;pomme;52;g;1 moyenne;150;;
Fruits;Banane;banane;90;g;1 moyenne;120;;
Fruits;Orange;orange;47;g;1 moyenne;180;;
Fruits;Clémentine;clementine|mandarine;47;g;1 unité;70;;
Fruits;Poire;poire;57;g;1 moyenne;160;;
Fruits;Fraise;fraises;33;g;1 barquette;250;1 portion;150
Fruits;Framboise;framboises;52;g;1 portion;125;;
Fruits;Myrtille;myrtilles;57;g;1 portion;125;;
Fruits;Raisin;raisin;70;g;1 grappe;150;;
Fruits;Pêche;peche;40;g;1 moyenne;150;;
Fruits;Abricot;abricot;48;g;1 unité;50;;
Fruits;Kiwi;kiwi;60;g;1 unité;80;;
Fruits;Ananas;ananas;50;g;1 tranche;100;;
Fruits;Mangue;mangue;60;g;1 moyenne;250;;
Fruits;Melon;melon;34;g;1 tranche;150;;
Fruits;Pastèque;pasteque;30;g;1 tranche;200;;
Fruits;Cerise;cerises;63;g;1 portion;150;;
Fruits;Compote sans sucre ajouté;compote;50;g;1 gourde;90;;
Fruits;Datte séchée;dattes;280;g;1 unité;8;;
Fruits;Abricot sec;abricots secs;240;g;1 unité;10;;
Fruits;Raisin sec;raisins secs;300;g;1 cuillère à soupe;15;;
Fruits;Pruneau;pruneaux;240;g;1 unité;10;;
Viandes;Blanc de poulet cuit;poulet|escalope de poulet;165;g;1 filet;150;;
Viandes;Cuisse de poulet cuite;cuisse de poulet;190;g;1 cuisse;150;;
Viandes;Escalope de dinde;dinde;135;g;1 escalope;130;;
Viandes;Steak haché 5% cuit;steak hache|viande hachee;150;g;1 steak;125;;
Viandes;Steak haché 15% cuit;steak hache 15;220;g;1 steak;125;;
Viandes;Bavette de bœuf;boeuf|bavette|entrecote;200;g;1 portion;150;;
Viandes;Filet mignon de porc;porc|filet de porc;160;g;1 portion;150;;
Viandes;Côte de porc;cote de porc;240;g;1 côte;180;;
Viandes;Jambon blanc;jambon;110;g;1 tranche;40;;
Viandes;Jambon cru;jambon cru|serrano|parme;240;g;1 tranche;25;;
Viandes;Lardons;lardons|bacon;300;g;1 portion;50;;
Viandes;Saucisse de Toulouse;saucisse;300;g;1 unité;100;;
Viandes;Merguez;merguez;320;g;1 unité;70;;
Viandes;Magret de canard;canard|magret;200;g;1 portion;150;;
Viandes;Côtelette d'agneau;agneau;250;g;1 côtelette;90;;
Viandes;Chorizo;chorizo;450;g;1 tranche;10;;
Viandes;Saucisson sec;saucisson;450;g;1 tranche;10;;
Viandes;Pâté de campagne;pate|terrine;320;g;1 portion;50;;
Poissons;Saumon cuit;saumon;200;g;1 pavé;140;;
Poissons;Saumon fumé;saumon fume;180;g;1 tranche;30;;
Poissons;Thon au naturel;thon;115;g;1 boîte égouttée;110;;
Poissons;Thon à l'huile égoutté;thon huile;190;g;1 boîte égouttée;110;;
Poissons;Cabillaud cuit;cabillaud|morue;90;g;1 pavé;150;;
Poissons;Colin cuit;colin|lieu|merlu;90;g;1 pavé;150;;
Poissons;Sardines à l'huile;sardines;220;g;1 boîte égouttée;90;;
Poissons;Maquereau;maquereau;200;g;1 filet;100;;
Poissons;Truite;truite;140;g;1 filet;140;;
Poissons;Crevettes cuites;crevettes;100;g;1 portion;120;;
Poissons;Moules cuites;moules;90;g;1 portion;250;;
Poissons;Surimi;surimi|batonnet de surimi;100;g;1 bâtonnet;17;;
Poissons;Poisson pané;poisson pane;220;g;1 unité;70;;
Œufs et laitiers;Œuf entier;oeuf|oeufs;145;g;1 unité;55;;
Œufs et laitiers;Blanc d'œuf;blanc d oeuf;50;g;1 unité;33;;
Œufs et laitiers;Lait demi-écrémé;lait;47;ml;1 verre;200;1 bol;250
Œufs et laitiers;Lait entier;lait entier;65;ml;1 verre;200;;
Œufs et laitiers;Yaourt nature;yaourt;60;g;1 pot;125;;
Œufs et laitiers;Yaourt grec;yaourt grec;120;g;1 pot;150;;
Œufs et laitiers;Skyr;skyr;60;g;1 pot;150;;
Œufs et laitiers;Fromage blanc 0%;fromage blanc;45;g;1 portion;100;;
Œufs et laitiers;Fromage blanc 3%;fromage blanc 3;65;g;1 portion;100;;
